Team,Division,Team Name,Organization,City,State,Country
10B,Math,Exothermic Blaze,Exothermic Robotics,Redmond,Washington,United States
10C,Technology,Exothermic Creation,Exothermic Robotics,Redmond,Washington,United States
10D,Science,Exothermic Dusk,Exothermic Robotics,Redmond,Washington,United States
10N,Engineering,Exothermic Nexus,Exothermic Robotics,Redmond,Washington,United States
10T,Arts,Exothermic Titans,Exothermic Robotics,Redmond,Washington,United States
12A,Innovate,Puzzles!,The Potomac School,McLean,Virginia,United States
12H,Spirit,Happy Haystacks,The Potomac School,McLean,Virginia,United States
25K,Design,Team 25K!,25K Robotics,Markham,Ontario,Canada
39B,Research,Gogli,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
39E,Opportunity,AAF,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
39K,Math,Rest in Pieces,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
39U,Technology,Doraemon,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
39V,Science,Chewsday innit?,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
39Y,Engineering,Yolt,CRANBROOK SCHOOLS,Bloomfield Hills,Michigan,United States
56H,Arts,Cape Robotics H,Cape Elizabeth High School,Cape Elizabeth,Maine,United States
56R,Innovate,FrostByte,Cape Elizabeth High School,Cape Elizabeth,Maine,United States
58A,Spirit,Dream Rover,5D college,chatswood,,Australia
81P,Design,VEXMEN: Pandemic,Brandywine Robotics Inc.,Chester Springs,Pennsylvania,United States
81Y,Research,VEXMEN: Cypher,Brandywine Robotics Inc.,Chester Springs,Pennsylvania,United States
81Z,Opportunity,VEXMEN: Zero,Brandywine Robotics,Chester Springs,Pennsylvania,United States
85A,Math,Chassis Kickers,Mount Vernon CSD,Mount Vernon,Iowa,United States
100A,Technology,Jugglenauts,Apogee Robotics,Bunker Hill,Indiana,United States
108A,Science,Flare,Independent,Troy,Michigan,United States
119A,Engineering,Inflection,ST BERNARD SCHOOL,Uncasville,Connecticut,United States
151T,Arts,Basement Dwellers,Basement Robotics,Austin,Texas,United States
154D,Innovate,Da Capybaras,GAR-FIELD HIGH,Woodbridge,Virginia,United States
169A,Spirit,The Cavalry,THE HAVERFORD SCHOOL,Haverford,Pennsylvania,United States
183A,Design,Synobotz,Carroll Educational Robotics,Westminster,Maryland,United States
197D,Research,Daedalus,Harriton Senior High School,Rosemont,Pennsylvania,United States
210W,Opportunity,Enter Kardon,Western Mechatronics,Calgary,Alberta,Canada
210Z,Math,Eclipse,Western Mechatronics,Calgary,Alberta,Canada
228A,Technology,Team Fuego,"Gus Robotics Team, Inc.",Meriden,Connecticut,United States
229V,Science,ACE Robotics,ACE Robotics,Tavares,Florida,United States
231W,Engineering,High Voltage,DR KIRK LEWIS CAREER AND TECHNICAL HIGH SCHOOL,HOUSTON,Texas,United States
248A,Arts,RoboDawgs: Vulcan,Grandville Robotics,Grandville,Michigan,United States
248D,Innovate,RoboDawgs: Differential,Grandville Robotics,Grandville,Michigan,United States
248E,Spirit,RoboDawgs: On ICE!!!,Grandville Robotics,Grandville,Michigan,United States
254F,Design,The Cheesy Poofs,Bellarmine College Preparatory,San Jose,California,United States
255F,Research,Norristown Robotics - F,NORRISTOWN AREA HIGH SCHOOL,Norristown,Pennsylvania,United States
285X,Opportunity,DiscoBots X,Carnegie Vanguard HS,Houston,Texas,United States
285Z,Math,DiscoBots Zephyr,Carnegie Vanguard HS,Houston,Texas,United States
293X,Technology,Eon,Echo Robotics,Malvern,Pennsylvania,United States
293Z,Science,Equinox,Echo Robotics,Malvern,Pennsylvania,United States
295S,Engineering,PART S,Placer Advanced Robotics and Technology,Granite Bay,California,United States
295Y,Arts,[PART]Y,Placer Advanced Robotics and Technology,Granite Bay,California,United States
315H,Innovate,Paradigm,Paradigm,Foster City,California,United States
315K,Spirit,Paradigm,Paradigm,Redwood City,California,United States
315N,Design,Paradigm,Paradigm,Cupertino,California,United States
315S,Research,Paradigm,Paradigm,Monte Sereno,California,United States
315V,Opportunity,Paradigm,Paradigm,Saratoga,California,United States
315Y,Math,Paradigm,Paradigm,Cupertino,California,United States
319K,Technology,Kodiak,,Redding,California,United States
321A,Science,321A,NILES WEST HIGH SCHOOL,Skokie,Illinois,United States
321C,Engineering,321C,NILES WEST HIGH SCHOOL,Skokie,Illinois,United States
323N,Arts,BIONICS,Cornerstone Robotics,Greenwood,Indiana,United States
323S,Innovate,Short Circuit,Cornerstone Robotics,Indianapolis,Indiana,United States
323V,Spirit,GEARS,Cornerstone Robotics,Martinsville,Indiana,United States
330Z,Design,G1,G1,Irvine,California,United States
333G,Research,G Men,Niles North 333 Robotics,Skokie,Illinois,United States
333R,Opportunity,Los Robos,Niles North 333 Robotics,Skokie,Illinois,United States
334F,Math,Supernova Fingers Crossed,SCIENCE ACADEMY STEM MAGNET,North Hollywood,California,United States
334Z,Technology,Supernova ZZZZZZzzzz……,SCIENCE ACADEMY STEM MAGNET,North Hollywood,California,United States
338A,Science,Iterated,High Caliber Robotics,Louisville,Kentucky,United States
343X,Engineering,Chris,ST ALBANS SCHOOL,Washington,District of Columbia,United States
344R,Arts,Red Rovers,SCARBOROUGH HIGH SCHOOL,Scarborough,Maine,United States
344Z,Innovate,Zero Brain Cells,SCARBOROUGH HIGH SCHOOL,Scarborough,Maine,United States
355V,Spirit,Orange Mambas,Fox Valley Robotics,Batavia,Illinois,United States
355Y,Design,Loose Screws,Fox Valley Robotics,Batavia,Illinois,United States
359B,Research,Hawaiian Kids,Waialua High & Intermediate School,Waialua,Hawaii,United States
360X,Opportunity,Vangatriots,,Point,Texas,United States
392X,Math,SpeedZappers,SpeedZappers,San Jose,California,United States
393B,Technology,Legacy Robotics,Legacy Magnet Academy,Tustin,California,United States
400B,Science,Out of sizing,BALL HIGH SCHOOL,Galveston,Texas,United States
421H,Engineering,Indian Hill Robotics Club,INDIAN HILL HIGH SCHOOL,Cincinnati,Ohio,United States
424B,Arts,BHS Blue,BAKERSFIELD HIGH,Bakersfield,California,United States
464D,Innovate,FH Robotics D,FOREST HILLS JSHS,Sidman,Pennsylvania,United States
488A,Spirit,Tencent Dreaming Plan Robot 488A,"Shenzhen Tencent Computer System Co., Ltd.",GuangDong,Guangdong,China
502W,Design,WonTon,"SD41 Mechatronics, Burnaby",Burnaby,British Columbia,Canada
507A,Research,Mustang Robotics,Otay Ranch High School,Chula Vista,California,United States
507B,Opportunity,Mustang Robotics 507B,Otay Ranch High School,Chula Vista,California,United States
508T,Math,PiraTech's,Palm Bay Magnet HS,Melbourne,Florida,United States
515R,Technology,Revision,Logan and Ben Robotics Club,Union,Kentucky,United States
536C,Science,Life,XAVIER HIGH SCHOOL,Appleton,Wisconsin,United States
550A,Engineering,AHS Robotics,APOPKA HIGH,Apopka,Florida,United States
550C,Arts,AHS Robotics,APOPKA HIGH,Apopka,Florida,United States
550G,Innovate,AHS Robotics,APOPKA HIGH,Apopka,Florida,United States
550X,Spirit,AHS Robotics,APOPKA HIGH,Apopka,Florida,United States
603B,Design,I Don't Know,BELMONT HIGH SCHOOL,Belmont,New Hampshire,United States
604X,Research,Robo-Titan,Western Pacific Robotics Academy,Richmond,British Columbia,Canada
606X,Opportunity,VEX HEX,VEX HEX,Tucson,Arizona,United States
614A,Math,Salamander Army,Under the GUI - Kitsilano,Vancouver,British Columbia,Canada
621A,Technology,SFS Stands For Something,Marion County STEM 4-H Club,Indianapolis,Indiana,United States
621B,Science,DinoNerdz,Marion County STEM 4 H Club,Indianapolis,Indiana,United States
643A,Engineering,Go Bananas,OAK MOUNTAIN HIGH SCHOOL,Birmingham,Alabama,United States
643T,Arts,Kachow!,OAK MOUNTAIN HIGH SCHOOL,Birmingham,Alabama,United States
654A,Innovate,Omnitron,LAKE TRAVIS HIGH SCHOOL,Austin,Texas,United States
654X,Spirit,Parallax,LAKE TRAVIS HIGH SCHOOL,Austin,Texas,United States
675A,Design,Robodragons Alpha,Gwinnett School Of Mathematics- Science And Technology,Lawrenceville,Georgia,United States
719E,Research,Explosive Engineers,BENTONVILLE WEST HIGH SCHOOL,CENTERTON,Arkansas,United States
719S,Opportunity,Hort,BENTONVILLE WEST HIGH SCHOOL,CENTERTON,Arkansas,United States
719W,Math,Wired Wolverines,BENTONVILLE WEST HIGH SCHOOL,CENTERTON,Arkansas,United States
725K,Technology,Kronos,Private,South Barrington,Illinois,United States
727G,Science,Terrapin Gold,Tampa Preparatory School,Tampa,Florida,United States
729S,Engineering,Scitus,Downingtown Robotics,Chester Springs,Pennsylvania,United States
739B,Arts,Men In black,KIMBALL SECONDARY,Kimball,Minnesota,United States
742A,Innovate,PerryBoticsA,PerryBotics,Downey,California,United States
750B,Spirit,Blitz,SOUTH BRUNSWICK HIGH SCHOOL,Monmouth Junction,New Jersey,United States
765X,Design,FuryTech Xenon,HIGH TECHNOLOGY HIGH SCHOOL,Lincroft,New Jersey,United States
832A,Research,// Caution Tape West //,Caution Tape Robotics ////,Oakville,Ontario,Canada
884B,Opportunity,Space Pandas,MBX Foundation,Manhattan Beach,California,United States
920B,Math,SLO - Botics,San Luis Obispo High School,San Luis Obispo,California,United States
929N,Technology,RagingBulls,Hereford High School,Parkton,Maryland,United States
929S,Science,Hereford Zone Robotics,HEREFORD HIGH,Parkton,Maryland,United States
929V,Engineering,Hereford Zone Robotics,Hereford High School,Parkton,Maryland,United States
937X,Arts,Aurora,Private,Chandler,Arizona,United States
945V,Innovate,Low Expectations,GREEN VALLEY HIGH SCHOOL,Henderson,Nevada,United States
946R,Spirit,Rock Lobsters,Better With Butter,Erie,Colorado,United States
948J,Design,Limitless,Limitless Robotics,San Diego,California,United States
967C,Research,C.U.L8R,Russellville High School,Russellville,Arkansas,United States
967E,Opportunity,Exodus,Russellville High School,RUSSELLVILLE,Arkansas,United States
967T,Math,auToma,Russellville High School,Russellville,Arkansas,United States
986A,Technology,Lancers A,GRACE BRETHREN JR SR HIGH SCHOOL,Simi Valley,California,United States
987A,Science,High Rollers,CIMARRON MEMORIAL HIGH SCHOOL,Las Vegas,Nevada,United States
991H,Engineering,BearBots,HARPETH HALL SCHOOL,Nashville,Tennessee,United States
1002T,Arts,[ ʟᴇᴛʜᴀʟ ᴘʀᴇꜱᴇɴᴄᴇ ],Templestowe College,Templestowe Lower,,Australia
1010N,Innovate,TenTon Robotics,West Vancouver School District #45,West Vancouver,British Columbia,Canada
1023E,Spirit,Evolution,Private,Redmond,Washington,United States
1028A,Design,The Fighting Chirmachillas,Brownell Talbot College Preparatory School,Omaha,Nebraska,United States
1064X,Research,OPS - Unknown Variable,OMAHA NORTH MAGNET HIGH SCHOOL,Omaha,Nebraska,United States
1069E,Opportunity,Critical Mass,Berthoud Robotics,Berthoud,Colorado,United States
1075A,Math,Acros,Heights Robotics,Arcadia,Indiana,United States
1075C,Technology,Chaos,Heights Robotics,Arcadia,Indiana,United States
1082C,Science,Le Fishee,LOVEJOY HIGH SCHOOL,Lucas,Texas,United States
1082E,Engineering,Carbonated Potato,LOVEJOY HIGH SCHOOL,Lucas,Texas,United States
1082J,Arts,Jumbo Shrimp,LOVEJOY HIGH SCHOOL,Lucas,Texas,United States
1082R,Innovate,Robot Go Vroom Vroom,LOVEJOY HIGH SCHOOL,Lucas,Texas,United States
1082V,Spirit,NO MATCH SCHEDULED,LOVEJOY HIGH SCHOOL,Lucas,Texas,United States
1082X,Design,Infinity's End,LOVEJOY HIGH SCHOOL,Lucas,Texas,United States
1082Z,Research,Carpe Phrogg,LOVEJOY HIGH SCHOOL,Lucas,Texas,United States
1104V,Opportunity,Discobots Venom ひ,Brampton Robotics Education,Brampton,Ontario,Canada
1104X,Math,Discobots X,Brampton Robotics Education,Brampton,Ontario,Canada
1115B,Technology,Team Ramrod,GREENFIELD-CENTRAL HIGH SCHOOL,Greenfield,Indiana,United States
1115D,Science,Dysfuncational,GREENFIELD-CENTRAL HIGH SCHOOL,Greenfield,Indiana,United States
1115F,Engineering,Fibonacci,GREENFIELD-CENTRAL HIGH SCHOOL,Greenfield,Indiana,United States
1200A,Arts,Symmetry,ST MARY CATHOLIC SCHOOLS,Neenah,Wisconsin,United States
1233A,Innovate,1233 Astro,CROWN POINT HIGH SCHOOL,Crown Point,Indiana,United States
1233G,Spirit,1233 Galactic,CROWN POINT HIGH SCHOOL,Crown Point,Indiana,United States
1233W,Design,1233 Whiplash,CROWN POINT HIGH SCHOOL,Crown Point,Indiana,United States
1275E,Research,Chamblee Charter High Sch,CHAMBLEE CHARTER HIGH SCHOOL,Chamblee,Georgia,United States
1320A,Opportunity,Tucker High Robotigers,TUCKER HIGH SCHOOL,Tucker,Georgia,United States
1353N,Math,Darmingfale Borotics,FARMINGDALE SENIOR HIGH SCHOOL,Farmingdale,New York,United States
1353V,Technology,WHERE ARE MY SHOES?,FARMINGDALE SENIOR HIGH SCHOOL,Farmingdale,New York,United States
1356B,Science,Parkview Bane,PARKVIEW HIGH SCHOOL,Lilburn,Georgia,United States
1408F,Engineering,Floppy,King Henry VIII School,Coventry,,United Kingdom
1429A,Arts,Team KAOS,GALENA PARK HIGH SCHOOL,Galena Park,Texas,United States
1462B,Innovate,Warriors,PENN TRAFFORD HIGH SCHOOL,Harrison City,Pennsylvania,United States
1469A,Spirit,It Is What It Is,Holmes Eaglebotz Robotics Club,Northridge,California,United States
1532E,Design,Space Monkey Mafia,BEMIDJI SENIOR HIGH,Bemidji,Minnesota,United States
1569A,Research,OMEGA,OMEGA Robotics,Great Neck,New York,United States
1575Y,Opportunity,Yo-Yo,Woodbridge High School,Woodbridge,Virginia,United States
1669X,Math,Milpitas Xtreme Robotics,Milpitas High School,Milpitas,California,United States
1696Z,Technology,Overdrive,Overdrive Robotics,Queen Creek,Arizona,United States
1718X,Science,Boy Oh Boy,MONTGOMERY HIGH SCHOOL,Montgomery,Texas,United States
1718Z,Engineering,Space Chicken,MONTGOMERY HIGH SCHOOL,Montgomery,Texas,United States
1727A,Arts,REX,Dulaney High School,Timonium,Maryland,United States
1727B,Innovate,REX,DULANEY HIGH,Timonium,Maryland,United States
1727N,Spirit,REX,Dulaney High School,Timonium,Maryland,United States
1737K,Design,Ürei,International Robotics Academy,Almaty,,Kazakhstan
1790A,Research,Bacon Bits,Wrightstown High School,Wrightstown,Wisconsin,United States
1790B,Opportunity,Bacon Bytes,WRIGHTSTOWN HIGH,Wrightstown,Wisconsin,United States
1898A,Math,Olympus,MILTON HIGH,Milton,Massachusetts,United States
1970Y,Technology,Knight Owls,MOUNT MICHAEL BENEDICTINE HIGH SCHOOL,Elkhorn,Nebraska,United States
1970Z,Science,The Knights,MOUNT MICHAEL BENEDICTINE HIGH SCHOOL,Elkhorn,Nebraska,United States
2011A,Engineering,Asymmetrical,BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Broadview Heights,Ohio,United States
2011B,Arts,Bruh,BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Broadview Heights,Ohio,United States
2011C,Innovate,Crazy Train,BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Broadview Heights,Ohio,United States
2011D,Spirit,Dopamine,BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Broadview Heights,Ohio,United States
2011E,Design,Ember,BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Broadview Heights,Ohio,United States
2011F,Research,FaZe Clan,BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Broadview Heights,Ohio,United States
2011J,Opportunity,Jester,BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Broadview Heights,Ohio,United States
2011K,Math,Ketchup Bins,BRECKSVILLE-BROADVIEW HEIGHTS HIGH SCHOOL,Broadview Heights,Ohio,United States
2055A,Technology,Capybaras,Mi3L School,Oakville,Ontario,Canada
2068B,Science,Metal Jackets-Tonka,OSBOURN PARK HIGH,Manassas,Virginia,United States
2105A,Engineering,Swampbotics,WARE COUNTY HIGH SCHOOL,Waycross,Georgia,United States
2114R,Arts,Rubberband Robotics,Branches Homeschool Co-op,Phoenix,Arizona,United States
2121D,Innovate,VEXcellent,Academies of Loudoun,Ashburn,Virginia,United States
2131F,Spirit,Real Housewives of DHS,DAVIS HIGH,Kaysville,Utah,United States
2131H,Design,D.U.C.K.,DAVIS HIGH,Kaysville,Utah,United States
2131R,Research,God Save the Queen,DAVIS HIGH,Kaysville,Utah,United States
2140A,Opportunity,S.I.R.,JENISON HIGH SCHOOL,Jenison,Michigan,United States
2145Z,Math,Pink Sparklee Unicorns,i think we are pretty organized,WOODBRIDGE,Virginia,United States
2158A,Technology,B.L.A.A.C.K O.P.S.,Anderson High School,Austin,Texas,United States
2158Z,Science,Stannum,ANDERSON HIGH SCHOOL,Austin,Texas,United States
2211A,Engineering,KHU Inventors,Homeschool,Caguas,,Puerto Rico
2252Y,Arts,CIMATEC,CIMATEC,Caguas,,Puerto Rico
2263Z,Innovate,Z Force,Hogar Colegio La Milagrosa,Arecibo,,Puerto Rico
2290A,Spirit,Eagle's Legend,Colegio Adianez,Guaynabo,,Puerto Rico
2344A,Design,Bolt Bots,CLEAR SPRINGS HIGH SCHOOL,Houston,Texas,United States
2398A,Research,Aftermath,SEQUOYAH HIGH SCHOOL,Tahlequah,Oklahoma,United States
2496J,Opportunity,BHS Robopatties J,Arnold O. Beckman High School,Irvine,California,United States
2496N,Math,BHS Robopatties N,Arnold O. Beckman High School,Irvine,California,United States
2496R,Technology,BHS Robopatties R,Arnold O. Beckman High School,Irvine,California,United States
2496V,Science,BHS Robopatties V,ARNOLD O. BECKMAN HIGH,Irvine,California,United States
2496X,Engineering,BHS Robopatties X,Arnold O. Beckman High School,Irvine,California,United States
2496Y,Arts,BHS Robopatties Y,Arnold O. Beckman High School,Irvine,California,United States
2567B,Innovate,Porta-Botz! - Big Brained,PORTAGE HIGH SCHOOL,Portage,Indiana,United States
2602B,Spirit,Hopkinetics Bionic,HOPKINTON HIGH,Hopkinton,Massachusetts,United States
2602D,Design,Hopkinetics Disconnected,HOPKINTON HIGH,Hopkinton,Massachusetts,United States
2602E,Research,Hopkinetics Elite,HOPKINTON HIGH,Hopkinton,Massachusetts,United States
2602H,Opportunity,Hopkinetics Heavy Metal,HOPKINTON HIGH,Hopkinton,Massachusetts,United States
2616M,Math,Master Oogway,CHERRY HILL HIGH SCHOOL EAST,Cherry Hill,New Jersey,United States
2647X,Technology,Endgame,2647 Robotics,Chandler,Arizona,United States
2654P,Science,Pronounce This,Longmont High School,Longmont,Colorado,United States
2662U,Engineering,Unknown Error,Elara Robotics,Erie,Colorado,United States
2733J,Arts,Jelly,,Groveland,Florida,United States
2775V,Innovate,Jackson Area Robotics,Jackson Area Robotics,Jackson,Tennessee,United States
2833A,Spirit,Roboraptors,Raptor Robotics,Charlotte,North Carolina,United States
2854T,Design,Sleepy Joe,Lake Creek High School,MONTGOMERY,Texas,United States
2854V,Research,Bent Wrench,Lake Creek High School,MONTGOMERY,Texas,United States
2854W,Opportunity,NBA_Youngbot,Lake Creek High School,MONTGOMERY,Texas,United States
2854Z,Math,The Brokies,Lake Creek High School,MONTGOMERY,Texas,United States
2921X,Technology,Free Range-X,Free Range Robotics,Orewa,,New Zealand
2941B,Science,Oats Robotics B,Otumoetai College,Tauranga,,New Zealand
2941E,Engineering,Oats Robotics E,Otumoetai College,Tauranga,,New Zealand
2990U,Arts,Titan Team Atlas,West Salem High School,Salem,Oregon,United States
3017K,Innovate,3017K,HENLEY HIGH SCHOOL,Klamath Falls,Oregon,United States
3018A,Spirit,Where is the Laptop,,Council Bluffs,Iowa,United States
3118A,Design,Astrobots,CLEAR BROOK HIGH SCHOOL,Houston,Texas,United States
3118B,Research,Astrobots,CLEAR BROOK HIGH SCHOOL,Houston,Texas,United States
3141A,Opportunity,In Transit,Gross Catholic Robotics,Bellevue,Nebraska,United States
3141X,Math,FuzzyKnightMonsterDaddy,GROSS CATHOLIC HIGH SCHOOL,Bellevue,Nebraska,United States
3142A,Technology,Abomination,Paideia School,Atlanta,Georgia,United States
3142P,Science,Zip Ties and Duct Tape,Paideia School,Atlanta,Georgia,United States
3142W,Engineering,Paideia Robotics,Paideia School,Atlanta,Georgia,United States
3142Y,Arts,Yutz,Paideia School,Atlanta,Georgia,United States
3150A,Innovate,Silver Owl,Silver Owl Robotics Club,RICHMOND HILL,Ontario,Canada
3223A,Spirit,The Hallway,WEST MICHIGAN AVIATION ACADEMY,Grand Rapids,Michigan,United States
3223D,Design,The Bronze Age,WEST MICHIGAN AVIATION ACADEMY,Grand Rapids,Michigan,United States
3249U,Research,Ultraviolet,VANCOUVER ITECH PREPARATORY,Vancouver,Washington,United States
3264Z,Opportunity,Don't Tell Grayson,NORWALK HIGH SCHOOL,Norwalk,Ohio,United States
3303G,Math,Dublin Robotics Genesis,Dublin Robotics Club,Dublin,California,United States
3333J,Technology,Slightly Hostile Bees,NOTRE DAME PREPARATORY SCHOOL & MARIST ACADEMY,Pontiac,Michigan,United States
3333W,Science,Power of the Square,NOTRE DAME PREPARATORY SCHOOL & MARIST ACADEMY,Pontiac,Michigan,United States
3388A,Engineering,Angel,Sir Winston Churchill High School,Calgary,Alberta,Canada
3388B,Arts,Can We Get Much Higher,Sir Winston Churchill High School,Calgary,Alberta,Canada
3389C,Innovate,GULLS Robotics,GULLS Robotics,Parsonsburg,Maryland,United States
3547H,Spirit,VIRUS: Pot Stickers,Technolgy First,Monroe,Michigan,United States
3547Y,Design,VIRUS: Murphy's Law,Technolgy First,Monroe,Michigan,United States
3583A,Research,Vulcan Robotics,Curiosity Spark,Sammamish,Washington,United States
3655G,Opportunity,NHS Project 36 Gray,North High School,Bakersfield,California,United States
3723A,Math,Chonky Gimbots,Seoul Foreign School,Seoul,,South Korea
3743C,Technology,Intellectual Idiots,ERIE HIGH SCHOOL,Erie,Colorado,United States
3759X,Science,Virtuoso,Interstellar Robotics,Irvine,California,United States
3796A,Engineering,Mann Made,J. L. MANN HIGH ACADEMY,Greenville,South Carolina,United States
3796B,Arts,Some Assembly Required,J. L. MANN HIGH ACADEMY,Greenville,South Carolina,United States
3796F,Innovate,Pay Respects,J. L. MANN HIGH ACADEMY,Greenville,South Carolina,United States
3796H,Spirit,Lotso Gears,J. L. MANN HIGH ACADEMY,Greenville,South Carolina,United States
3818A,Design,ManilaA,International School Manila,Manila,,Philippines
3885Y,Research,Scooby Doooooooo,Unitec Career Center,Bonne Terre,Missouri,United States
3946S,Opportunity,Sun Devils S,Kent Denver School,Englewood,Colorado,United States
4082B,Math,Freedom Gladiators,St Nicholas Catholic School,Freedom,Wisconsin,United States
4112D,Technology,Blue Devils,ZANESVILLE HIGH SCHOOL,Zanesville,Ohio,United States
4142B,Science,Pearl City High School,PEARL CITY HIGH SCHOOL,Pearl City,Hawaii,United States
4148A,Engineering,Average...,Greenville High School,Greenville,Texas,United States
4148E,Arts,Three Headed Goat,Greenville High School,Greenville,Texas,United States
4154V,Innovate,USchool Sharks Robotics,NSU UNIVERSITY SCHOOL,Fort Lauderdale,Florida,United States
4154X,Spirit,USchool Sharks Robotics,NSU UNIVERSITY SCHOOL,Fort Lauderdale,Florida,United States
4154Z,Design,USchool Sharks Robotics,NSU UNIVERSITY SCHOOL,Fort Lauderdale,Florida,United States
4216A,Research,Fantastic 4,LAKESIDE HIGH SCHOOL,Lake Village,Arkansas,United States
4253B,Opportunity,Raid Zero B,Taipei American School,Taipei,,Taiwan
4275A,Math,CCK-1,CMA Choi Cheung Kok Secondary School,NT,,Hong Kong
4318B,Technology,Eevee,Creativity Private School - Bahrain,Manama,,Bahrain
4326A,Science,The Rake,ELKHORN SOUTH HIGH SCHOOL,Omaha,Nebraska,United States
4330M,Engineering,The Squad,RANSOM EVERGLADES SCHOOL,Miami,Florida,United States
4330R,Arts,Raiders,RANSOM EVERGLADES SCHOOL,Miami,Florida,United States
4378A,Innovate,KnightX,J M HANKS HIGH SCHOOL,El Paso,Texas,United States
4378C,Spirit,The Kingdom,J M HANKS HIGH SCHOOL,El Paso,Texas,United States
4378D,Design,SilverKnights,J M HANKS HIGH SCHOOL,El Paso,Texas,United States
